epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,221.499,1.06822,0.73337,1.33769,0.86484,0.95543,0.95604,0.57584,1.16372,0.59967,1.54806,0.0005941,0.0005941,0.0005941
43,226.616,1.05964,0.72048,1.32857,0.8832,0.93412,0.9427,0.57678,1.15455,0.57777,1.54867,0.0005842,0.0005842,0.0005842
44,231.777,1.06094,0.72498,1.33127,0.84182,0.92379,0.95514,0.57637,1.16938,0.61345,1.54588,0.0005743,0.0005743,0.0005743
45,236.884,1.06125,0.74918,1.32979,0.87083,0.90347,0.91518,0.56762,1.16939,0.6393,1.55598,0.0005644,0.0005644,0.0005644
46,241.977,1.02976,0.72294,1.32666,0.91049,0.86837,0.93127,0.56777,1.13772,0.61927,1.52517,0.0005545,0.0005545,0.0005545
47,247.159,1.02564,0.71444,1.31945,0.89823,0.91911,0.94748,0.56791,1.15874,0.56917,1.54981,0.0005446,0.0005446,0.0005446
48,252.354,1.0208,0.70149,1.31145,0.927,0.93146,0.96359,0.59046,1.16036,0.57686,1.54757,0.0005347,0.0005347,0.0005347
49,257.548,1.02986,0.68793,1.31267,0.93701,0.9309,0.97024,0.599,1.14748,0.54459,1.53879,0.0005248,0.0005248,0.0005248
50,262.695,1.04588,0.71766,1.32512,0.90526,0.85878,0.96614,0.58153,1.17986,0.57208,1.54153,0.0005149,0.0005149,0.0005149
51,267.814,1.01423,0.67633,1.30346,0.91306,0.9101,0.96058,0.59711,1.12465,0.56245,1.5097,0.000505,0.000505,0.000505
52,272.959,1.01588,0.67602,1.31061,0.91166,0.88146,0.95191,0.59422,1.12981,0.59039,1.51932,0.0004951,0.0004951,0.0004951
53,278.088,1.02755,0.67678,1.31144,0.94227,0.87506,0.94425,0.58187,1.13867,0.5873,1.52427,0.0004852,0.0004852,0.0004852
54,283.21,1.01769,0.67462,1.30696,0.89789,0.89926,0.93773,0.58243,1.13879,0.58194,1.52322,0.0004753,0.0004753,0.0004753
55,288.351,1.02023,0.67514,1.31043,0.92458,0.93634,0.96712,0.59987,1.10886,0.53375,1.50253,0.0004654,0.0004654,0.0004654
56,293.495,0.99409,0.64177,1.29813,0.93323,0.89504,0.9555,0.57878,1.13478,0.55096,1.51872,0.0004555,0.0004555,0.0004555
57,298.698,0.98113,0.6506,1.28172,0.90661,0.91072,0.94794,0.56564,1.14969,0.54332,1.53454,0.0004456,0.0004456,0.0004456
58,303.74,0.98564,0.63442,1.28623,0.86662,0.96982,0.96308,0.5792,1.16353,0.52502,1.54857,0.0004357,0.0004357,0.0004357
59,308.836,0.98369,0.63446,1.2902,0.9068,0.93715,0.96361,0.59533,1.1404,0.54025,1.53569,0.0004258,0.0004258,0.0004258
60,313.953,0.9837,0.62468,1.28741,0.93586,0.94271,0.96845,0.60862,1.12001,0.51866,1.5057,0.0004159,0.0004159,0.0004159
